Plate_ID,Row,Col,Gene_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,SMU #,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
27,C,1,SMU_239c,BsaI,KU_Payload_1,Tag_12,Tag_178,,,,,,Y,Y,0.638,18.50333,0.242916316,5.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,D,1,SMU_244,BsaI,KU_Payload_2,Tag_23,Tag_131,,,,,,Y,Y,0.699,7.50333,0.300901851,5.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,E,1,SMU_245,BsaI,KU_Payload_2,Tag_84,Tag_157,,,,,,Y,Y,0.613,7.00333,0.23931445,5.55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,F,1,SMU_247,BsaI,KU_Payload_2,Tag_77,Tag_165,,,,,,Y,Y,0.726,14.50333,0.288817142,4.69,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
27,G,1,SMU_252,BsaI,KU_Payload_2,Tag_8,Tag_108,,,,,,Y,Y,0.616,8.17,0.264061366,5.99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,H,1,SMU_253,BsaI,KU_Payload_1,Tag_86,Tag_131,,,,,,Y,Y,0.661,22.83667,0.274673056,5.79,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,A,1,SMU_255,BsaI,KU_Payload_2,Tag_141,Tag_188,,,,,,Y,Y,1.136,24.00306,0.165840871,6.47639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,B,1,SMU_260,BsaI,KU_Payload_2,Tag_12,Tag_53,,,,,,Y,Y,1.58,12.00278,0.370279986,7.60639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,C,1,SMU_261c,BsaI,KU_Payload_1,Tag_47,Tag_99,,,,,,Y,Y,1.595,12.00278,0.393385349,7.65639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,D,1,SMU_262,BsaI,KU_Payload_2,Tag_75,Tag_133,,,,,,Y,Y,1.679,12.00278,0.392721506,7.90639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,E,1,SMU_267c,BsaI,KU_Payload_1,Tag_56,Tag_149,,,,,,Y,Y,1.562,12.00278,0.397395004,7.73639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,F,1,SMU_268,BsaI,KU_Payload_2,Tag_11,Tag_30,,,,,,Y,Y,1.435,14.00306,0.36628102,7.93639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
