Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
21,C,2,SMU_1721c,BsaI,Payload_1,Tag_120,Tag_147,1568,24380094,SMU.1721c,VIMSS296397,1028946,Y,Y,N,?,1.708,20.83667,0.324427799681535,6.82,True,True,True,True,True,True,True,True,True,True
21,D,2,SMU_1722c,BsaI,Payload_1,Tag_36,Tag_145,1569,24380095,SMU.1722c,VIMSS296398,1028948,Y,Y,N,?,1.76,23.75333,0.302077201566344,7.31,True,True,True,True,True,True,True,True,True,True
21,E,2,SMU_1723c,BsaI,Payload_1,Tag_14,Tag_113,1570,24380096,SMU.1723c,VIMSS296399,1028949,Y,Y,Y,N,1.831,22.92,0.301375282058903,7.61,True,True,True,True,True,True,True,True,True,True
21,F,2,SMU_1724c,BsaI,Payload_1,Tag_48,Tag_97,1571,24380097,SMU.1724c,VIMSS296400,1028950,Y,Y,Y,N,1.628,23.33667,0.288266292044359,7.19,True,True,True,True,True,True,True,True,True,True
21,G,2,SMU_1725,BsaI,Payload_2,Tag_100,Tag_163,1572,24380098,SMU.1725,VIMSS296401,1028951,Y,Y,N,?,1.823,22.92,0.314749183148779,8.19,True,True,True,True,True,True,True,True,True,True
21,H,2,SMU_1727,BsaI,Payload_2,Tag_163,Tag_183,1573,24380099,SMU.1727,VIMSS296402,1028952,Y,Y,N,?,1.75,18.75333,0.318263446204393,6.72,True,True,True,True,True,True,True,True,True,True
21,B,3,SMU_1728,BsaI,Payload_1,Tag_96,Tag_135,1574,,,,,Y,Y,Y,N,1.589,22.08861,0.271921696605419,7.75,True,True,True,True,True,True,True,True,True,True
21,C,3,SMU_1729c,BsaI,Payload_1,Tag_120,Tag_173,1575,24380101,SMU.1729c,VIMSS296404,1028954,Y,Y,Y,N,1.43,24.17,0.17057795037343,12.03,True,True,True,True,True,True,True,True,True,True
21,D,3,SMU_1730c,BsaI,Payload_1,Tag_58,Tag_117,1576,24380102,SMU.1730c,VIMSS296405,1028955,Y,Y,Y,N,1.45,23.75333,0.241522529697681,9.41,True,True,True,True,True,True,True,True,True,True
21,E,3,SMU_1731,BsaI,Payload_1,Tag_60,Tag_88,1577,,,,,N,N,N,Y,0.099,11.25333,2.01219722163591E-18,1.67,False,False,False,True,False,False,False,False,False,False
21,F,3,SMU_1732c,BsaI,Payload_1,Tag_135,Tag_160,1578,24380104,SMU.1732c,VIMSS296407,1028956,Y,Y,Y,N,1.109,24.17,0.124214849274737,6.39,True,True,True,True,True,True,True,True,True,True
21,G,3,SMU_1733c,BsaI,Payload_1,Tag_7,Tag_116,1579,24380105,SMU.1733c,VIMSS296408,1028947,Y,Y,N,?,1.744,22.50333,0.330143775319217,7.28,True,True,True,True,True,True,True,True,True,True
21,H,3,SMU_1734,BbsI,Payload_3,Tag_36,Tag_190,1580,,,,,N,Y,N,?,1.448,24.17,0.244650448462185,6.19,False,True,True,True,True,True,False,True,True,True
21,A,4,SMU_1735,BsaI,Payload_1,Tag_19,Tag_119,1581,,,,,N,Y,N,?,1.61,22.92,0.252969113234329,6.56,False,True,True,True,True,True,False,True,True,True
21,B,4,SMU_1736,BsaI,Payload_1,Tag_121,Tag_154,1582,,,,,N,N,Y,N,0.221,24.17,0.0647994151036252,23.75,False,False,False,True,False,False,False,False,False,False
21,C,4,SMU_1737,BsaI,Payload_1,Tag_22,Tag_29,1583,,,,,Y,N,N,Y,0.119,24.17,0.0099507520377119,23.75,True,False,False,True,False,False,False,False,False,False
21,D,4,SMU_1738,BsaI,Payload_1,Tag_166,Tag_184,1584,,,,,N,N,N,Y,0.11,1.67,-2.38914524096263E-22,1.67,False,False,False,False,False,False,False,False,False,False
21,E,4,SMU_1739,BsaI,Payload_1,Tag_65,Tag_138,1585,,,,,Y,N,N,?,1.726,20.83667,0.330035781965392,16.78,True,False,True,True,True,True,False,True,True,True
21,F,4,SMU_1740,BsaI,Payload_1,Tag_33,Tag_167,1586,,,,,Y,N,N,Y,1.451,24.17,0.327199731862267,23.2,True,False,True,True,True,False,False,False,True,True
21,G,4,SMU_1741,BsaI,Payload_1,Tag_59,Tag_165,1587,,,,,Y,Y,Y,N,1.832,10.42,0.320531318758428,6.61,True,True,True,True,True,True,True,True,True,True
21,H,4,SMU_1742c,BsaI,Payload_1,Tag_104,Tag_124,1588,24380114,SMU.1742c,VIMSS296417,1028959,Y,Y,N,Y,1.731,19.17,0.306422913280477,14.86,True,True,True,True,True,True,True,True,True,True
21,A,5,SMU_1743,BsaI,Payload_1,Tag_48,Tag_112,1589,,,,,N,N,N,?,0.096,3.75306,4.09704648416886E-16,1.67,False,False,False,False,False,False,False,False,False,False
21,B,5,SMU_1744,BsaI,Payload_1,Tag_61,Tag_146,1590,,,,,Y,N,Y,N,0.121,24.17,0.0105655380466999,23.75,True,False,False,True,False,False,False,False,False,False
21,C,5,SMU_1745c,BsaI,Payload_1,Tag_18,Tag_106,1591,24380117,SMU.1745c,VIMSS296420,1028966,Y,Y,Y,N,1.738,23.75333,0.327332541013718,6.01,True,True,True,True,True,True,True,True,True,True
21,E,5,SMU_1746c,BsaI,Payload_1,Tag_120,Tag_191,1592,24380118,SMU.1746c,VIMSS296421,1028967,Y,Y,Y,N,1.723,10.42,0.308154197251972,6.3,True,True,True,True,True,True,True,True,True,True
21,F,5,SMU_1747c,BsaI,Payload_1,Tag_74,Tag_99,1593,24380119,SMU.1747c,VIMSS296422,1028968,Y,N,Y,N,1.702,20.00333,0.332630956355341,7.35,True,False,True,True,True,True,False,True,True,True
21,G,5,SMU_1748,BsaI,Payload_2,Tag_108,Tag_189,1594,24380120,SMU.1748,VIMSS296423,1028970,Y,Y,N,?,1.635,24.17,0.289964594662205,20.9,True,True,True,True,True,False,False,True,True,True
21,C,6,SMU_1750c,BsaI,Payload_1,Tag_18,Tag_152,1595,24380121,SMU.1750c,VIMSS296424,1028975,Y,Y,Y,N,1.683,24.17,0.312716034701243,7.14,True,True,True,True,True,True,True,True,True,True
21,E,6,SMU_1752c,BsaI,Payload_1,Tag_36,Tag_79,1596,24380122,SMU.1752c,VIMSS296425,1028979,Y,Y,Y,N,1.677,24.17,0.303807038128441,7.56,True,True,True,True,True,True,True,True,True,True
21,G,6,SMU_1753c,BsaI,Payload_1,Tag_77,Tag_129,1597,24380123,SMU.1753c,VIMSS296426,1028980,Y,Y,Y,N,1.762,11.67,0.302880765451396,8.17,True,True,True,True,True,True,True,True,True,True
21,H,6,SMU_1754c,BsaI,Payload_1,Tag_87,Tag_109,1598,24380124,SMU.1754c,VIMSS296427,1028976,Y,Y,Y,N,1.647,23.75333,0.312069505095979,7.02,True,True,True,True,True,True,True,True,True,True
21,A,7,SMU_1755c,BsaI,Payload_1,Tag_67,Tag_91,1599,24380125,SMU.1755c,VIMSS296428,1028973,Y,Y,Y,N,1.658,11.67,0.302596920464157,7.44,True,True,True,True,True,True,True,True,True,True
21,B,7,SMU_1757c,BsaI,Payload_1,Tag_144,Tag_181,1600,24380126,SMU.1757c,VIMSS296429,1028969,Y,Y,Y,N,1.752,20.00333,0.321922581817364,7.07,True,True,True,True,True,True,True,True,True,True
21,C,7,SMU_1758c,BsaI,Payload_1,Tag_108,Tag_117,1601,24380127,SMU.1758c,VIMSS296430,1028977,Y,Y,Y,N,1.689,23.75333,0.308923696465761,7.2,True,True,True,True,True,True,True,True,True,True
21,D,7,SMU_1760c,BsaI,Payload_1,Tag_9,Tag_122,1602,24380128,SMU.1760c,VIMSS296431,1028909,Y,Y,Y,N,1.718,11.25333,0.305172845557626,8.34,True,True,True,True,True,True,True,True,True,True
21,E,7,SMU_1761c,BbsI,Payload_3,Tag_111,Tag_186,1603,24380129,SMU.1761c,VIMSS296432,1028900,Y,Y,Y,N,1.739,11.67,0.309208376479619,8.23,True,True,True,True,True,True,True,True,True,True
21,F,7,SMU_1762c,BsaI,Payload_1,Tag_93,Tag_186,1604,24380130,SMU.1762c,VIMSS296433,1028978,Y,Y,Y,N,1.702,21.67,0.310012309669763,7.91,True,True,True,True,True,True,True,True,True,True
21,G,7,SMU_1763c,BsaI,Payload_1,Tag_68,Tag_160,1605,24380131,SMU.1763c,VIMSS296434,1029542,Y,Y,N,?,1.745,20.42,0.312362947722461,7.96,True,True,True,True,True,True,True,True,True,True
